Age,Gender,Education,Marital_Status,Job_Type,Region,Income,Expenses,Savings,Credit_Score,Years_of_Experience,Loan_Amount,Loan_Approval,Default_Risk,Future_Income
29,Male,Bachelor,Married,Finance,North,54720,22115,30408,596,15,208247,0,0,53313
43,Male,High School,Single,Education,West,57095,32107,38681,786,26,166284,1,0,60231
30,Female,Bachelor,Married,Unemployed,South,64059,36996,32509,530,13,56567,0,0,79653
57,Female,Bachelor,Widowed,Unemployed,West,35325,23711,15735,502,40,220578,0,1,49520
35,Male,Bachelor,Married,Healthcare,East,71101,29147,43467,661,20,429572,1,0,93175
42,Male,High School,Married,Healthcare,West,55421,26832,34002,694,27,420171,1,0,60772
50,Female,Bachelor,Widowed,Unemployed,West,59123,28498,33183,547,30,293284,0,0,66908
64,Female,High School,Single,Education,East,46685,36401,12382,739,45,247178,1,0,59475
57,Female,Master,Widowed,Finance,North,36077,18831,18580,695,42,456040,0,0,39651
60,Female,High School,Married,IT,North,51090,34615,23343,655,42,306469,1,0,58664
29,Female,Bachelor,Single,Education,North,52809,35667,23456,700,9,343147,1,0,58255
61,Female,Bachelor,Widowed,Unemployed,North,29218,12644,17827,540,41,191504,0,0,36406
53,Male,Bachelor,Divorced,IT,West,61899,36268,20036,640,39,213640,1,0,62314
65,Female,High School,Divorced,Healthcare,West,64947,48525,18602,528,44,262263,0,0,65235
21,Female,High School,Divorced,Unemployed,South,39055,20995,16470,842,7,347806,0,0,40231
22,Male,High School,Widowed,Unemployed,North,34661,26777,7516,838,5,335562,0,0,47359
54,Male,Bachelor,Single,Education,East,45455,18510,28320,828,38,442919,1,0,55734
25,Female,High School,Widowed,IT,East,50358,16974,30082,566,5,499039,0,0,53786
59,Male,High School,Married,Construction,East,46037,34331,5654,428,40,148877,0,1,38949
66,Female,High School,Widowed,Construction,East,49086,35530,17015,519,51,264532,0,0,44003
45,Female,Master,Divorced,Construction,South,53322,42460,12996,381,27,9400,0,0,57786
48,Male,PhD,Divorced,Unemployed,South,29475,18855,12562,319,29,308758,0,0,32058
26,Male,Master,Married,IT,South,31200,23972,11781,626,6,490305,0,0,34531
68,Other,Bachelor,Widowed,Construction,North,9165,6538,1329,336,48,87100,0,1,20817
46,Male,High School,Divorced,Healthcare,West,64138,46321,21479,681,25,418725,1,0,74619
31,Male,Bachelor,Widowed,Unemployed,East,50228,29361,29554,338,12,499539,0,0,60964
57,Male,Bachelor,Divorced,IT,East,65717,32279,34164,408,36,71300,0,0,67807
58,Other,Bachelor,Married,Healthcare,South,32933,25268,19161,728,42,418735,0,0,27702
39,Female,Bachelor,Single,Finance,North,50366,25991,26624,363,20,199746,0,1,65133
28,Female,Bachelor,Single,IT,South,53222,30305,20655,474,11,81094,0,1,71846
40,Male,High School,Divorced,Construction,East,41573,21745,26076,331,24,414391,0,0,55542
18,Male,High School,Divorced,Construction,East,26698,15549,12586,830,1,327786,0,0,25058
63,Male,High School,Widowed,Unemployed,South,76188,40779,42671,405,44,196195,0,1,84903
54,Female,High School,Single,Finance,East,70989,22999,52056,781,33,132867,1,1,84347
38,Male,High School,Widowed,Unemployed,West,44271,32805,11826,505,21,163019,0,0,56734
43,Female,High School,Divorced,Education,West,57653,30106,37152,546,23,150286,0,1,64171
63,Female,High School,Single,Finance,South,42728,25400,16831,388,48,223030,0,0,52871
53,Male,High School,Widowed,Construction,West,35068,12960,13279,615,35,133042,0,0,47119
40,Other,High School,Divorced,Construction,West,77408,23353,60457,310,26,339479,0,0,85761
18,Male,High School,Widowed,Education,South,25169,10637,18281,348,0,233629,0,0,25019
68,Male,Bachelor,Widowed,Finance,South,45717,29820,24315,470,52,478261,0,0,59120
57,Female,Master,Divorced,Healthcare,South,51264,17921,30934,442,42,146046,0,0,55309
32,Male,PhD,Widowed,Finance,West,74768,56408,19124,506,16,427572,0,0,87693
38,Male,PhD,Widowed,Healthcare,East,63448,25855,37792,762,19,448432,1,0,73310
64,Female,Bachelor,Single,Construction,North,24916,10023,21561,808,48,417056,0,0,28142
26,Male,Bachelor,Widowed,Construction,East,49958,19521,35691,500,12,108985,0,0,61141
26,Other,High School,Married,Finance,South,50315,15446,37943,304,8,317642,0,0,62435
27,Male,PhD,Divorced,Construction,East,46574,31945,17735,510,9,64571,0,0,57503
69,Male,Master,Widowed,Unemployed,North,59297,43732,11810,328,49,274141,0,1,63294
43,Female,Master,Divorced,Unemployed,East,28863,17522,17184,489,27,210982,0,0,28394
58,Male,High School,Married,Unemployed,South,43870,17289,32526,487,37,304044,0,0,40936
52,Female,Bachelor,Divorced,Education,North,57182,25310,45327,449,34,269597,0,0,79013
69,Male,High School,Married,IT,West,60193,32381,32165,824,48,267682,1,1,71384
42,Male,PhD,Married,Healthcare,East,52241,40600,16803,665,22,81151,1,0,70417
43,Male,High School,Single,Construction,West,45674,19350,30712,456,24,35593,0,0,56708
28,Male,Bachelor,Married,Healthcare,West,48200,32092,14624,379,10,138375,0,0,52715
55,Male,High School,Single,Finance,North,61106,31758,37595,572,41,191645,0,0,70720
19,Male,Master,Widowed,Education,West,50508,22674,29555,817,5,263740,1,1,63610
24,Female,High School,Single,Healthcare,West,34372,18146,17261,531,6,63384,0,0,39337
35,Male,Master,Single,Construction,East,31497,10570,22252,459,17,55543,0,0,42709
44,Male,Bachelor,Widowed,IT,North,27655,19340,9985,643,28,89092,0,0,38106
51,Male,Bachelor,Divorced,Unemployed,South,71833,30288,41112,588,37,497855,0,0,83757
44,Female,High School,Divorced,Education,South,62111,41161,24026,504,30,433243,0,0,80160
34,Male,Master,Widowed,Finance,North,48402,16174,33744,604,13,470367,1,0,61223
60,Male,Master,Married,Construction,West,43193,33584,10700,659,45,167540,1,0,51805
61,Female,Bachelor,Single,Education,East,41391,16411,29429,699,43,452902,1,0,54089
68,Male,Bachelor,Divorced,Construction,West,66398,49225,19551,748,47,341371,1,1,77997
41,Male,High School,Divorced,Finance,South,78566,55368,22427,405,25,235186,0,0,94083
42,Male,High School,Married,Finance,East,40919,32077,7024,381,25,330319,0,0,49902
24,Male,Bachelor,Divorced,IT,North,67076,36150,33418,641,10,94268,1,0,81710
69,Female,Bachelor,Divorced,Education,West,50420,33463,15223,720,52,28940,1,0,50840
23,Male,Bachelor,Divorced,IT,West,46813,22720,21999,348,2,41481,0,0,55247
41,Male,Bachelor,Widowed,IT,East,72563,28458,42082,505,25,336384,0,0,81695
50,Male,Master,Divorced,IT,West,49847,25997,27124,517,33,301122,0,1,65444
66,Other,PhD,Divorced,Unemployed,North,54445,20845,41567,735,46,150283,1,0,54594
46,Male,Bachelor,Widowed,Healthcare,East,53724,42496,14966,621,26,53866,1,1,61544
60,Female,Bachelor,Divorced,Finance,North,25616,8917,23133,530,43,303657,0,0,24094
39,Male,Master,Married,IT,North,54326,32302,23675,786,25,80714,1,0,66554
43,Female,Bachelor,Single,Healthcare,North,41559,25485,18785,728,24,487927,1,0,39117
45,Female,Bachelor,Widowed,Healthcare,North,28682,16321,22625,583,24,219483,0,1,31394
67,Male,Master,Widowed,Healthcare,West,42242,26658,21727,785,50,414032,1,0,39146
38,Male,Master,Divorced,IT,East,42119,15082,33722,575,17,258061,0,1,47801
66,Male,Master,Single,Healthcare,West,65448,37796,28330,732,51,299585,1,0,76843
24,Male,High School,Married,IT,South,34043,15101,20915,484,9,230454,0,1,45488
34,Male,Bachelor,Married,Education,North,38152,29380,12800,515,18,413836,0,0,49908
37,Male,High School,Single,Finance,North,53530,36455,16042,396,22,289988,0,1,50748
58,Male,Bachelor,Single,Construction,South,30113,23676,-3378,418,43,57200,0,0,30896
66,Male,Bachelor,Married,IT,South,40114,12787,31309,664,49,124607,1,0,45038
37,Female,High School,Divorced,Finance,North,25032,11078,20760,702,17,167661,0,0,26928
39,Male,Bachelor,Single,IT,West,63800,25373,40703,696,25,50986,1,0,69371
45,Male,Bachelor,Single,Unemployed,West,45479,13897,30602,757,29,188158,1,0,47595
57,Female,Master,Divorced,Education,North,49761,20957,29150,617,42,76646,1,0,53516
66,Female,High School,Widowed,Finance,East,63740,40754,14844,681,47,99476,1,0,74218
24,Female,Bachelor,Single,Finance,South,39165,16274,23224,441,3,301729,0,0,52168
18,Female,Bachelor,Divorced,Healthcare,West,45320,25130,16614,756,4,77149,1,0,65662
49,Female,High School,Married,IT,East,34155,25408,7248,800,35,304231,0,0,45207
30,Male,Bachelor,Widowed,IT,North,34122,22072,8221,622,16,143303,0,0,35735
47,Female,Master,Single,Construction,North,36191,17998,13788,567,28,147286,0,0,42203
40,Female,High School,Divorced,Healthcare,West,42612,20719,18872,786,25,335557,1,1,55287
68,Female,Bachelor,Widowed,Healthcare,West,44228,23346,26046,459,48,102743,0,0,54831
36,Male,Bachelor,Divorced,Construction,North,54329,21107,32673,313,21,254774,0,1,63469
49,Female,High School,Married,Healthcare,West,36631,22601,10490,454,35,238463,0,0,40499
47,Female,High School,Single,Healthcare,West,54794,26414,34150,400,29,399363,0,0,61519
46,Male,Master,Divorced,Education,West,57275,41592,18327,342,28,250317,0,1,63309
66,Female,Master,Single,Unemployed,North,42982,29153,4010,492,45,316533,0,0,58619
62,Male,Master,Divorced,Finance,South,37929,22956,21951,610,46,121810,0,1,39271
46,Female,Bachelor,Single,Construction,East,51276,24720,28916,764,26,143681,1,0,50228
47,Female,Master,Single,Education,South,46956,19015,33792,462,32,386427,0,0,53170
33,Male,High School,Widowed,Unemployed,North,53305,36677,17501,650,12,276881,1,1,63257
57,Female,Master,Divorced,Education,East,73547,39951,43619,533,41,303895,0,0,87368
36,Female,Bachelor,Divorced,Education,North,51029,21043,30076,702,15,378003,1,1,64729
35,Male,Master,Single,Healthcare,South,40411,16066,13165,650,14,308046,1,0,45529
18,Male,High School,Single,Unemployed,North,36636,14020,20169,466,0,272750,0,0,41939
31,Female,Master,Widowed,Unemployed,West,37216,25626,16100,447,14,456546,0,0,40525
68,Male,Bachelor,Married,Construction,West,28058,11629,19224,327,48,55775,0,0,37153
64,Male,High School,Divorced,Healthcare,South,63991,36047,29331,558,45,393145,0,0,72274
67,Female,Bachelor,Single,Healthcare,West,16500,8675,4893,741,51,180758,0,0,27394
19,Other,Bachelor,Widowed,Education,South,57321,33808,25605,826,2,126914,1,0,64811
45,Male,High School,Single,IT,North,36979,27311,11596,510,24,184653,0,0,40742
66,Male,Bachelor,Divorced,Construction,North,42313,31052,13137,842,48,115397,1,0,48280
67,Female,Bachelor,Widowed,Construction,South,36530,19197,22021,744,52,448090,0,0,43669
47,Female,High School,Widowed,Education,East,71687,22056,52539,752,28,137167,1,0,84417
55,Female,Bachelor,Single,Education,South,50244,25786,25196,703,41,221819,1,0,57190
68,Male,High School,Single,Finance,East,61855,37304,21538,365,48,332406,0,0,70489
21,Female,High School,Married,Education,South,69507,40236,38070,704,1,222277,1,0,73424
18,Male,High School,Married,Healthcare,North,52451,32816,31543,734,1,350059,1,0,70652
25,Female,High School,Divorced,Education,West,32065,12089,30697,527,6,27065,0,0,38439
46,Male,PhD,Divorced,Construction,South,46690,29100,23085,775,25,315988,1,0,45462
56,Female,PhD,Widowed,IT,East,38866,15209,17281,767,42,435645,0,0,50066
20,Female,Master,Divorced,IT,West,42447,28662,6798,400,3,217789,0,0,45269
49,Female,High School,Married,Healthcare,East,48580,22810,25027,722,33,351847,1,0,60310
27,Male,Master,Married,IT,East,47987,31428,18285,655,7,390179,1,0,51631
27,Female,Bachelor,Married,Education,East,56181,18198,39503,438,13,408303,0,0,64740
36,Female,High School,Single,IT,East,58359,29408,31919,430,20,272826,0,0,63659
63,Female,Master,Married,Education,South,47987,31312,11712,848,49,129656,1,0,50768
51,Female,PhD,Married,Unemployed,West,56052,23173,42916,767,32,305873,1,0,68336
50,Male,Master,Divorced,Finance,West,41759,29132,22153,779,32,353832,1,0,50511
40,Male,High School,Married,Construction,West,69721,42905,22259,410,26,387592,0,0,85434
45,Male,Bachelor,Married,Unemployed,West,41517,24652,9557,452,31,108508,0,0,46259
49,Male,High School,Single,Healthcare,North,67957,32400,37108,541,33,457676,0,1,74164
67,Male,High School,Married,Finance,North,27858,15077,21091,578,52,340232,0,0,28240
24,Female,Master,Divorced,IT,South,44293,26517,19615,662,3,130300,1,0,37614
46,Female,Bachelor,Single,Healthcare,West,45035,24149,24185,707,31,324542,1,0,53658
25,Female,High School,Widowed,Education,North,54184,35173,18812,474,5,21468,0,0,72429
18,Female,High School,Married,Finance,West,62927,32523,33135,434,3,488283,0,0,65307
20,Male,Bachelor,Married,Construction,South,31259,12539,25442,805,1,77620,0,0,41155
41,Female,PhD,Married,Construction,East,33380,13584,23856,593,27,48848,0,0,43453
40,Male,Bachelor,Widowed,Finance,South,28971,8775,25073,794,22,155235,0,0,40706
25,Male,High School,Single,Finance,North,69802,31444,32041,718,5,338735,1,1,79270
64,Male,Bachelor,Single,Finance,North,54464,36733,30422,505,46,335349,0,0,58733
54,Female,Bachelor,Married,IT,North,33734,23515,3962,617,34,82564,0,1,32253
20,Other,Master,Widowed,Unemployed,South,43353,17394,28741,372,3,71544,0,0,39536
68,Male,Bachelor,Divorced,Unemployed,South,67726,52793,16180,558,53,56516,0,0,85819
50,Male,High School,Widowed,Unemployed,South,45828,25260,22033,657,33,20523,1,0,60283
45,Female,High School,Married,Construction,West,44942,34088,17203,447,28,126456,0,0,55484
64,Female,Master,Widowed,Construction,North,38280,25011,11729,524,45,443523,0,0,34694
25,Female,High School,Single,IT,South,34625,22894,11567,404,11,269343,0,0,45751
51,Male,Master,Single,Healthcare,South,67749,23205,40810,655,34,251669,1,0,75098
52,Female,High School,Single,Construction,West,75108,30793,51925,837,33,434423,1,0,90774
49,Male,Master,Divorced,Healthcare,North,35222,10721,27831,560,28,220905,0,0,39946
41,Male,High School,Widowed,Healthcare,East,71074,46771,29489,369,24,75231,0,0,81805
31,Male,High School,Married,Healthcare,East,42689,20158,28590,746,12,6006,1,0,40987
49,Female,Bachelor,Married,Construction,North,58004,40215,29746,746,35,274258,1,0,67524
63,Male,Bachelor,Single,Education,West,71153,33404,48833,556,43,376692,0,0,70194
60,Female,Bachelor,Married,Healthcare,North,47823,33938,17500,830,41,231403,1,0,62910
33,Male,Bachelor,Divorced,Unemployed,East,45080,16469,31400,418,17,350207,0,0,59798
21,Male,Bachelor,Widowed,Education,South,62016,23980,37375,365,2,241928,0,0,74222
69,Other,Bachelor,Divorced,IT,North,33350,15689,23381,544,54,263350,0,0,31121
54,Male,Bachelor,Widowed,Unemployed,East,67205,33887,38853,356,38,412243,0,0,76908
38,Female,Master,Widowed,Education,South,52142,24733,25762,343,18,491548,0,0,59433
31,Female,Bachelor,Widowed,Education,North,41333,28181,18750,823,17,366672,1,0,49741
48,Female,Master,Married,Finance,West,40937,14265,33713,723,33,492206,1,0,59558
65,Male,Bachelor,Married,Healthcare,East,29248,13910,11729,835,46,264074,0,0,28833
35,Female,Bachelor,Married,Construction,South,41957,30151,14755,694,20,369943,1,0,47740
24,Female,Bachelor,Married,Finance,South,46039,15349,32361,749,10,82977,1,0,56506
27,Other,Bachelor,Married,Unemployed,West,34080,26281,9772,556,7,166261,0,0,42985
24,Female,Bachelor,Married,Education,East,49318,39116,7438,660,9,5181,1,0,58698
50,Male,Master,Single,IT,South,57093,19656,30304,679,34,148884,1,0,60128
40,Female,Bachelor,Single,Construction,West,46797,20854,24165,742,22,27716,1,0,51392
38,Female,Master,Single,IT,East,59940,29142,28320,833,21,394139,1,1,71481
36,Male,Bachelor,Divorced,Education,West,37892,26077,15581,773,20,255706,0,0,47369
65,Female,High School,Divorced,IT,West,65050,38897,30000,456,51,45218,0,0,75578
36,Female,Master,Divorced,Finance,West,51827,32245,23144,388,15,499465,0,0,56972
53,Female,Master,Widowed,IT,West,73178,49669,18525,501,34,31633,0,0,99382
46,Female,High School,Widowed,Finance,East,86213,30949,51666,761,31,278083,1,1,91501
35,Male,High School,Divorced,Healthcare,West,42946,30775,11087,780,15,277216,1,0,46913
19,Male,Bachelor,Single,Construction,West,43564,28439,17240,753,2,210454,1,0,58710
18,Male,High School,Married,IT,South,46306,27258,19372,769,4,467438,1,0,51723
64,Male,Bachelor,Married,Finance,East,58935,43898,18590,679,49,362678,1,0,62832
22,Male,PhD,Married,Education,East,69889,45438,31328,700,3,253048,1,0,84340
37,Female,High School,Widowed,Unemployed,West,40207,16116,21094,378,20,162847,0,0,40137
28,Female,High School,Divorced,Education,West,55718,28687,24224,685,10,89751,1,0,69527
59,Male,Bachelor,Single,Finance,North,47961,26235,24402,642,40,491736,1,0,61037
19,Male,High School,Married,Construction,West,59271,19417,41443,744,4,261463,1,0,65081
20,Female,Master,Divorced,Healthcare,East,72641,56465,21892,351,0,489049,0,0,86789
40,Male,High School,Divorced,Healthcare,South,46395,16901,31531,550,22,188472,0,0,56523
29,Female,Bachelor,Widowed,Construction,East,24951,16186,19467,628,10,298763,0,0,23265
37,Male,High School,Widowed,Unemployed,South,61158,33827,21391,793,20,134729,1,0,70818
22,Male,Bachelor,Widowed,IT,West,37509,11733,31977,649,7,112696,0,0,52027
54,Female,Bachelor,Widowed,Finance,North,47853,36481,14368,758,36,165624,1,0,57033
55,Female,PhD,Divorced,Healthcare,South,61805,44865,11924,797,35,67017,1,0,73006
47,Male,Bachelor,Widowed,Construction,East,54460,30613,15507,424,28,423101,0,1,68404
26,Other,Master,Married,Healthcare,West,48474,20091,24757,503,9,481161,0,0,54801
51,Male,Bachelor,Single,Healthcare,South,41361,14923,34483,320,36,206020,0,0,55733
61,Male,PhD,Widowed,IT,North,6501,3131,10846,661,44,391556,0,0,10949
52,Female,High School,Married,Healthcare,North,60474,25865,35965,660,38,51075,1,0,70990
69,Female,Bachelor,Single,Finance,North,46205,25567,20826,415,53,483779,0,1,48972
39,Male,Bachelor,Widowed,Construction,West,72700,56938,13481,354,21,472311,0,1,90890
61,Female,High School,Widowed,Unemployed,South,55970,32881,24152,591,46,140722,0,1,60556
41,Male,Bachelor,Single,Unemployed,South,41883,31201,10311,350,22,212452,0,0,57909
34,Other,Master,Married,Unemployed,West,66003,41280,35272,553,18,415849,0,1,72245
27,Female,Bachelor,Married,IT,South,67266,36163,26920,791,10,368431,1,0,74713
47,Male,High School,Divorced,Unemployed,West,46714,33975,16701,524,29,42343,0,0,51267
63,Male,High School,Divorced,IT,North,67904,36375,42314,768,42,261980,1,0,86109
40,Female,High School,Widowed,Unemployed,South,41670,30598,16944,402,25,232101,0,0,47332
49,Female,PhD,Married,Construction,North,52394,23356,25416,347,32,262086,0,0,67451
34,Female,Bachelor,Married,Finance,West,58571,21343,31516,641,16,159903,1,0,65918
67,Female,Bachelor,Widowed,Unemployed,North,61771,44948,20195,532,46,459655,0,0,80109
68,Male,Bachelor,Single,Healthcare,East,59322,35219,26855,527,53,172949,0,1,69637
34,Female,High School,Single,Healthcare,West,45010,33512,19660,821,16,445347,1,0,54753
31,Female,High School,Divorced,Unemployed,East,66405,51059,20088,312,14,50197,0,0,75020
26,Male,Bachelor,Widowed,Finance,West,48133,15730,31978,798,5,197107,1,0,51860
57,Female,Master,Single,Education,North,41464,22825,17875,744,43,193193,1,0,45810
19,Male,Master,Widowed,Construction,North,41684,20320,16833,639,4,251349,1,0,42559
62,Male,Master,Married,Finance,North,79099,48482,33263,623,44,268926,1,0,95735
42,Female,PhD,Single,Healthcare,East,38870,27084,6763,456,23,484704,0,0,51345
56,Female,High School,Single,Construction,North,69374,30545,45378,730,35,493971,1,0,89988
26,Female,High School,Single,Unemployed,East,32967,19068,18844,706,8,440383,0,0,53860
39,Male,High School,Married,Construction,East,57318,37506,24599,457,20,9412,0,0,61628
60,Male,Bachelor,Divorced,Healthcare,South,54456,19997,29849,484,46,493808,0,0,61729
63,Male,Bachelor,Widowed,Finance,South,74318,52545,23023,790,42,492868,1,0,92272
21,Male,Bachelor,Single,Education,South,40183,24232,16004,835,3,326831,1,0,35111
43,Other,Bachelor,Married,Construction,West,36040,27922,10632,656,26,118043,0,0,40066
46,Male,Bachelor,Single,Unemployed,East,48252,22667,30227,661,25,314999,1,0,51813
62,Female,Bachelor,Widowed,Construction,North,74972,26545,47859,523,41,101169,0,0,84510
51,Female,High School,Widowed,Construction,South,36737,20324,16033,503,36,216206,0,1,39948
40,Female,Master,Single,Unemployed,West,11173,3831,12741,307,21,325334,0,0,7079
54,Female,PhD,Married,Unemployed,East,50896,39941,7307,771,38,146688,1,0,59151
28,Female,Bachelor,Single,Unemployed,West,64242,20515,41993,471,13,42448,0,0,63628
23,Female,Master,Married,Finance,North,34792,23545,13276,395,7,462795,0,0,36155
35,Male,Bachelor,Divorced,Construction,South,62718,35282,33934,605,17,128678,1,0,61593
38,Other,High School,Single,Unemployed,East,34461,16689,14928,557,21,431454,0,0,48523
59,Female,High School,Married,Healthcare,West,47801,15913,42836,773,40,279245,1,0,63735
53,Male,High School,Single,Healthcare,South,61290,37453,19083,599,32,370275,0,1,71766
58,Female,Bachelor,Widowed,Unemployed,South,32188,19074,22865,764,42,370515,0,0,31737
55,Female,High School,Widowed,IT,East,52722,23220,37499,627,36,80822,1,0,65457
51,Female,Master,Single,Construction,South,68224,51516,11557,409,32,499514,0,0,77645
34,Male,PhD,Single,Education,West,57109,25816,25131,428,19,188353,0,0,55378
54,Female,High School,Married,IT,East,39190,20569,24220,436,35,398109,0,0,37159
42,Male,High School,Married,Construction,East,72780,41621,31271,838,21,55465,1,0,70181
55,Male,Bachelor,Widowed,Construction,South,59875,20963,35877,463,40,278214,0,0,78960
29,Female,Master,Married,Unemployed,North,22093,16925,16226,648,9,426307,0,0,32757
40,Female,Bachelor,Widowed,Finance,North,62963,30679,28314,762,21,453914,1,1,64121
59,Female,Bachelor,Divorced,Finance,North,41429,14102,25692,803,39,128927,1,0,51645
39,Female,Master,Single,Healthcare,West,52948,26137,25769,450,23,63431,0,0,70907
38,Female,Bachelor,Married,IT,East,65120,39078,14044,545,21,438918,0,1,70599
44,Female,High School,Widowed,IT,South,41755,23250,20961,409,29,313883,0,0,46791
48,Male,PhD,Widowed,Unemployed,North,25316,16386,6372,574,32,313851,0,0,21464
23,Male,High School,Single,IT,South,72583,23788,54847,366,8,459241,0,0,84564
44,Female,High School,Single,Unemployed,North,67468,29839,44335,349,27,26742,0,0,84439
57,Male,Bachelor,Single,Healthcare,North,48691,34551,17298,814,40,300194,1,1,58808
51,Male,High School,Married,Education,South,62801,21349,44667,525,36,307521,0,1,72490
29,Female,PhD,Divorced,Education,West,44459,32354,14922,805,13,200883,1,0,43183
62,Female,Bachelor,Divorced,Unemployed,South,51454,17800,32151,454,44,478180,0,0,51336
24,Male,Master,Divorced,Education,South,47835,34308,12452,779,10,246216,1,0,53623
27,Female,High School,Divorced,Unemployed,West,45065,21648,32033,410,6,269877,0,0,54929
62,Male,High School,Widowed,IT,West,55389,33571,27494,782,42,205675,1,1,69248
34,Male,Bachelor,Married,Construction,South,31877,11999,22908,573,16,89277,0,0,33455
43,Male,PhD,Divorced,IT,West,46226,15397,35829,454,23,409343,0,0,58363
38,Male,High School,Divorced,Unemployed,North,54717,22322,34089,466,23,148082,0,0,63655
45,Female,Bachelor,Married,Construction,West,77571,28230,52265,318,24,172078,0,0,78739
63,Male,High School,Married,Finance,South,32486,14820,22638,644,48,211572,0,0,34354
19,Female,Master,Single,Unemployed,West,57808,32210,17226,593,0,426869,0,0,79092
60,Female,PhD,Single,Unemployed,East,59452,35337,30645,761,45,263054,1,1,69371
18,Male,Bachelor,Divorced,Healthcare,West,21849,15183,12837,637,2,291517,0,0,28968
68,Male,Bachelor,Widowed,Education,North,56157,35273,18980,751,50,143282,1,0,63144
53,Male,High School,Single,IT,East,63204,38199,33225,643,38,333467,1,0,67339
68,Female,High School,Married,IT,North,58829,29761,19981,384,47,381147,0,0,71748
43,Male,High School,Single,Finance,North,48741,26169,26336,688,27,262176,1,0,56972
46,Female,High School,Single,Construction,East,54998,27898,29299,526,28,422834,0,0,63924
38,Male,Master,Married,Education,North,52547,37890,15109,585,23,20060,0,0,58815
28,Female,Bachelor,Divorced,Healthcare,East,24658,10233,16521,583,11,50256,0,0,33909
57,Female,High School,Single,Construction,North,52899,16021,41791,408,42,491270,0,0,60125
28,Female,Master,Single,Construction,South,44493,27837,9628,434,14,249378,0,1,48403
53,Female,PhD,Divorced,Unemployed,North,39427,15819,30612,590,35,201315,0,1,49442
66,Female,Bachelor,Single,Education,East,87274,65024,22198,807,47,420384,1,0,100999
56,Female,Bachelor,Widowed,Healthcare,South,68789,50183,25683,328,37,320617,0,0,74950
57,Female,High School,Divorced,Education,South,32747,11080,26884,693,37,164553,0,0,34492
52,Female,Bachelor,Widowed,Education,West,55199,19495,35548,326,38,91648,0,0,65000
51,Female,Bachelor,Married,IT,West,71870,39354,34119,766,33,338320,1,0,81899
64,Male,PhD,Widowed,Healthcare,West,27557,16661,12793,312,49,270554,0,0,19585
41,Male,Bachelor,Married,Construction,South,51154,22377,38808,744,24,432342,1,0,70277
39,Male,Master,Divorced,Education,West,51861,34145,14013,523,24,96316,0,0,51257
22,Female,High School,Married,Finance,South,30882,18450,12241,762,3,115100,0,0,35181
50,Male,Bachelor,Married,Healthcare,West,55693,25753,24029,320,36,343865,0,0,66873
53,Female,High School,Married,Finance,North,66743,20869,48493,686,33,348311,1,0,65656
64,Male,Master,Married,Construction,West,72620,49023,22479,625,49,441417,1,0,89978
37,Male,High School,Widowed,Healthcare,East,46259,18844,26904,766,20,415137,1,0,54807
36,Male,Bachelor,Married,IT,West,87524,62775,34172,821,19,99123,1,0,84592
52,Male,High School,Married,Healthcare,South,19130,9759,7254,524,37,320164,0,0,21503
69,Female,Bachelor,Single,Construction,East,55343,32571,23974,774,52,42344,1,0,63298
60,Male,Bachelor,Single,IT,East,28815,21221,7300,757,39,397289,0,0,36537
34,Male,Bachelor,Single,Construction,South,51352,37579,13793,512,15,156981,0,1,50646
62,Female,High School,Married,Unemployed,East,42171,20484,37545,780,41,418183,1,0,45652
60,Male,Bachelor,Single,Healthcare,East,57603,23297,27631,479,39,143970,0,0,73140
51,Male,Bachelor,Widowed,Construction,East,48096,33069,20247,837,32,186574,1,0,59324
26,Female,PhD,Divorced,Healthcare,West,37610,19427,32319,826,8,177976,0,0,46775
43,Male,High School,Divorced,IT,East,38595,15284,30706,321,27,397078,0,1,51723
19,Male,PhD,Divorced,Healthcare,North,78986,59414,21806,644,0,346896,1,0,89183
26,Male,Bachelor,Single,Construction,North,56652,22607,30181,320,12,136020,0,0,65694
26,Female,High School,Married,Construction,West,24468,7656,25335,707,11,162471,0,0,35028
57,Male,Bachelor,Divorced,Unemployed,West,58261,18069,46878,786,43,253385,1,0,67836
34,Male,Bachelor,Widowed,Unemployed,North,47079,28772,12658,827,18,295618,1,0,55638
18,Male,High School,Single,Construction,East,50069,31585,18882,715,2,393511,1,0,63083
42,Male,Bachelor,Single,Finance,North,62298,28378,29889,571,26,476150,0,0,78751
60,Male,Bachelor,Widowed,Finance,South,67748,31164,24286,504,44,58459,0,0,82276
57,Male,Bachelor,Married,Finance,East,37117,17435,15535,597,38,117298,0,0,45008
59,Female,Bachelor,Married,Education,North,49553,31717,20363,407,43,286453,0,0,60829
42,Male,Bachelor,Widowed,Unemployed,North,41808,13757,32952,451,22,493410,0,0,44306
56,Female,Bachelor,Widowed,Healthcare,East,58952,45072,14262,312,41,178027,0,0,73834
52,Female,High School,Single,Finance,East,46515,19129,36256,378,34,372162,0,0,47746
20,Female,Bachelor,Widowed,Construction,East,50438,40342,17243,468,1,356261,0,0,52864
67,Female,High School,Married,Construction,West,45945,17723,29595,548,51,168082,0,0,53289
54,Female,High School,Married,Finance,South,48408,33196,15948,420,37,412503,0,1,57375
61,Female,Bachelor,Married,Unemployed,West,75569,31112,48370,686,46,289534,1,1,89373
61,Male,High School,Married,Finance,North,85861,29229,58542,738,42,247329,1,0,90637
